Index,Venue ID,Cluster ID,Event Lon,Event Lat
29,112937,5,-79.740486,40.416378
17,120810,5,-79.93,40.450001
52,158916,5,-79.941635,40.45604
600,216309,5,-79.92202,40.42939
255,283798,5,-79.96153,40.469307
330,293803,5,-79.90286,40.446342
898,294173,0,-80.062147,40.278449
341,295623,3,-79.95211,40.443535
886,296303,5,-80.05629,40.375282
214,308361,5,-79.932852,40.451375
310,313464,5,-79.96139,40.46793
930,322450,5,-79.965805,40.42825
118,335676,5,-80.18604,40.491043
977,348633,0,-80.021259,40.439104
512,359436,5,-80.002556,40.440346
1097,370414,5,-79.92284,40.43475
333,376852,0,-80.045403,40.591145
22,377244,7,-79.989998,40.450001
576,377249,5,-79.70598,40.428116
700,420074,5,-79.668866,40.422007
770,445926,5,-79.99313,40.510593
305,487882,5,-80.13265,40.263077
433,556179,5,-79.98416,40.42882
72,558189,5,-79.92682,40.46045
36,563624,5,-79.982964,40.45155
93,570488,5,-80.050385,40.355923
772,604556,5,-79.964493,40.424572
182,674802,6,-80.003494,40.452225
260,674810,5,-79.94622,40.44937
148,674812,5,-79.972336,40.428295
419,674813,7,-79.9929,40.44648
1094,674826,5,-79.95517,40.46565
18,674828,5,-79.929955,40.45672
324,674831,6,-80.002678,40.448498
176,674836,5,-79.99923,40.44261
121,674839,0,-80.079155,40.522995
112,674849,5,-79.95312,40.455513
892,674850,5,-80.04676,40.418262
266,674855,0,-80.05061,40.42152
423,674857,4,-79.98126,40.452984
11,674917,5,-80.059784,40.633533
891,680153,5,-80.031073,40.332137
486,684981,2,-79.949267,40.444139
257,686157,5,-79.710684,40.332601
928,687679,5,-79.920074,40.487856
818,688927,5,-79.984238,40.450736
126,689526,4,-80.013532,40.445305
1068,695692,5,-79.763003,40.420027
518,698205,5,-79.949265,40.444138
300,706466,5,-79.942892,40.444579
249,706800,5,-80.164513,40.685226
362,708815,0,-80.007857,40.290488
669,710425,5,-79.983083,40.428711
714,715722,5,-79.933078,40.494775
548,718429,5,-79.860798,40.494005
160,721440,5,-79.898384,40.431808
1104,722961,5,-80.015787,40.446835
394,723199,5,-79.915873,40.478916
840,725985,5,-80.090848,40.414105
157,727351,5,-80.176316,40.449835
312,729514,6,-80.007393,40.451449
628,730778,5,-79.991354,40.456737
77,731596,5,-79.930554,40.459939
620,734936,5,-80.019478,40.48073
1011,735248,0,-80.008889,40.452368
936,736900,4,-80.013533,40.445308
781,737341,5,-79.844237,40.534455
20,738078,5,-79.893478,40.430318
435,738722,4,-80.011029,40.436614
174,740042,0,-79.979666,40.594669
652,743063,5,-79.964433,40.462031
66,754565,7,-80.020084,40.451172
631,758454,5,-79.922964,40.437173
204,763021,7,-80.002187,40.442724
731,765794,0,-79.926158,40.461067
1078,766103,5,-79.946985,40.437485
893,770074,0,-80.147957,40.546413
109,783159,5,-79.894225,40.433416
519,793132,1,-80.001712,40.379138
306,795889,5,-80.031599,40.409787
345,808122,5,-80.049419,40.369177
409,810447,6,-80.00739,40.430716
662,813884,1,-80.015935,40.384331
110,814077,0,-79.899214,40.455284
10,816398,5,-79.932838,40.451405
83,822670,5,-80.16129,40.448326
217,833058,0,-79.966716,40.425941
436,833132,7,-80.012404,40.456794
86,835698,5,-80.160244,40.455791
122,836419,5,-79.919512,40.406871
839,838852,5,-80.173676,40.449253
158,852775,5,-80.003711,40.432542
417,854288,5,-79.926278,40.471529
103,856403,5,-79.772346,40.437237
406,858565,6,-80.003711,40.432542
16,861615,5,-80.128343,40.333846
935,870565,5,-80.060246,40.349517
366,872309,3,-79.959839,40.444595
569,874396,5,-79.931259,40.455925
206,879741,3,-79.943053,40.450916
501,881726,5,-79.918668,40.407738
907,882028,5,-79.959229,40.467636
549,882044,5,-79.922536,40.438137
97,889145,0,-80.076578,40.521193
152,911421,0,-79.957462,40.423227
1037,919415,5,-79.951054,40.44384
1069,925227,5,-79.7652,40.438831
414,931277,5,-79.951683,40.445962
155,937447,6,-80.007369,40.430364
78,938297,5,-80.065841,40.312354
370,945930,5,-79.802686,40.175531
630,946879,5,-79.827838,40.446745
26,948011,5,-79.980113,40.432181
901,948333,5,-79.923445,40.447242
427,949143,5,-80.052842,40.633237
887,951390,1,-80.019729,40.362014
326,952689,5,-79.752569,40.430062
185,955603,5,-79.996123,40.443417
474,965994,5,-79.920021,40.483208
659,967422,5,-79.818502,40.381905
120,969027,0,-79.997589,40.292603
27,969038,5,-79.820946,40.356025
356,977544,2,-79.949267,40.444139
75,978650,5,-79.95681,40.441555
321,981790,0,-80.045384,40.377195
760,985429,0,-80.143122,40.528487
332,986923,5,-80.014664,40.484368
603,987285,5,-79.921325,40.437857
878,987649,5,-79.870812,40.393505
882,992314,5,-80.011673,40.445869
376,995195,0,-80.02137,40.394427
515,997536,5,-79.971167,40.473103
163,997661,5,-79.948149,40.440809
256,998130,5,-79.901321,40.48931
536,1003830,5,-79.877235,40.486952
596,1005490,5,-80.107038,40.711842
383,1006725,5,-79.947199,40.440169
979,1009923,5,-80.065811,40.640814
181,1013607,5,-79.899085,40.449691
89,1015384,5,-79.811892,40.428055
342,1017057,0,-79.928058,40.569818
314,1035990,5,-79.982594,40.429036
516,1038240,5,-79.937332,40.456172
641,1043807,5,-79.923204,40.433531
264,1043879,0,-79.95767,40.47459
816,1051762,5,-79.922977,40.433716
113,1054771,5,-80.035239,40.39618
119,1055186,1,-80.043927,40.397388
3,1056614,5,-79.926748,40.442868
202,1059488,5,-79.842896,40.515626
380,1060183,7,-79.985589,40.450736
511,1063928,5,-79.940277,40.426213
4,1074457,5,-79.959778,40.436726
343,1080982,0,-80.03451,40.388942
9,1085669,5,-80.054848,40.626677
127,1092762,1,-80.006336,40.374626
248,1095802,0,-79.995861,40.305406
278,1099760,1,-79.995625,40.349767
335,1102185,3,-79.950626,40.443628
593,1104022,0,-80.029228,40.331112
179,1108438,5,-79.963923,40.465831
352,1114957,4,-80.000799,40.451826
315,1120340,0,-79.909891,40.457782
73,1122073,5,-79.97662,40.420841
688,1126022,5,-79.87302,40.43785
1024,1126073,0,-80.006935,40.456447
274,1134091,0,-79.965233,40.427914
154,1136838,7,-80.041341,40.423784
546,1139555,4,-79.996664,40.443377
227,1154790,5,-79.938581,40.455928
545,1156895,5,-79.908868,40.436302
31,1161333,5,-80.034774,40.368731
933,1161896,5,-80.110056,40.356181
895,1196181,5,-79.858582,40.240657
1083,1205252,5,-79.954979,40.44225
453,1212461,5,-79.956902,40.444099
295,1219097,5,-80.171205,40.298311
25,1226521,5,-79.604248,40.547119
270,1238543,5,-79.954377,40.442048
250,1246313,5,-79.917442,40.450623
71,1254629,3,-79.943,40.450757
791,1259672,5,-80.131401,40.395653
509,1261943,5,-79.922972,40.437581
64,1267847,0,-80.081696,40.584347
693,1270951,5,-80.157709,40.454458
590,1279190,0,-80.107028,40.366028
537,1286898,5,-79.797353,40.168537
663,1298604,5,-80.030284,40.517697
137,1308714,5,-79.94216,40.431979
574,1318251,5,-79.763651,40.504942
478,1321213,5,-80.006732,40.608727
282,1324446,5,-80.04688,40.39378
926,1340242,5,-80.137285,40.451304
285,1344683,5,-79.917404,40.432976
956,1356492,5,-79.75453,40.42786
294,1362732,5,-79.922821,40.437069
309,1368063,5,-79.87956,40.525473
632,1371207,5,-79.7965,40.573616
792,1371305,5,-80.187739,40.458123
246,1383936,5,-80.224573,40.509119
653,1385707,0,-80.033824,40.441315
311,1396263,0,-79.975934,40.451418
738,1403760,6,-80.03247,40.457307
104,1403851,5,-80.085305,40.40823
0,1405887,5,-79.949497,40.445651
615,1419284,5,-79.983063,40.428852
319,1423688,5,-80.220627,40.513222
483,1435867,0,-79.961687,40.472509
55,1438873,5,-79.984559,40.429133
923,1448819,4,-80.01327,40.44542
70,1450785,5,-80.158007,40.448456
2,1477047,5,-79.956929,40.44156
625,1478030,5,-80.106137,40.683956
904,1483262,5,-79.710724,40.332508
698,1486131,5,-79.544876,40.305862
